"حساب اونكس","اســـــم الحساب",المدينة,العنوان,الموقع,المندوب
4020433,"شركة بدر للمقاولات المحدوده",الرياض,,,عبدالرحيم
4020100,"شركة تكوين العقارات المحدودة - المشرقية",الرياض,,,عبدالرحيم
4020411,"مؤسسة تكافل الاعمار للتطوير العقاري",الرياض,"RLBA3993، 3993 عبدالله السديس، 6580، حي بدر، الرياض 14743",https://maps.app.goo.gl/S6ySwk9oGFrN1LxX8,"سالم الديني"
4020434,"مؤسسة دار القروين للتجارة",الرياض,"RRRB2494، 2494 اسماء بنت مالك، 7048، حي العارض، الرياض 13342",https://maps.app.goo.gl/mkdUXHhPT1Qz8QPW9,"سالم الديني"
4020421," شركة التنميةالعمومية للتجارة",الرياض,"2642-2584 الفضائل، النرجس، الرياض 13333",https://maps.app.goo.gl/3cLqXggS1WfRAYnJ9,"عبدالغني متعاون"
4020416,"شركة معاذ المتحدة للتجارة",الرياض,"طريق النصر, المصانع, حي, الرياض 12624",https://maps.app.goo.gl/byW7qrepeD2pE9S97,"عبدالغني متعاون"
4020424,"شركة ادماس الدولية المحدودة",الرياض,"العريض, الرياض",https://maps.app.goo.gl/YWpp4RoRoYYLFoJL7,"عبدالغني متعاون"
4020428,"مؤسسة بندر عبيد مسلم العصيمي للمقاولات",الرياض,"ظهرة لبن، الرياض 13787",https://maps.app.goo.gl/yATxh4SsCcAzL4zQ9,"عبدالغني متعاون"
4020093,"شركة عبر للمقاولات  - مشروع المرسية",الرياض,"طريق الأمير فيصل بن بندر بن عبدالعزيز، مطار الملك خالد الدولي، الرياض 11564",https://maps.app.goo.gl/RFN4bTopHqLyj3rE9,"الإدارة -مكتب الرياض"
4020405,"شركة عبر للمقاولات مشروع الروشن",الرياض,,,"الإدارة -مكتب الرياض"
4020316,"شركة عبر للمقاولات - مشروع التلال",الرياض,"VJVV+87, النرجس, الرياض 13339",https://maps.app.goo.gl/T2wBx959aphknTdr5,"الإدارة -مكتب الرياض"
4020329,"شركة عبر للمقاولات - مشروع الخفجي",الرياض,,,"الإدارة -مكتب الرياض"
4020335,"شركة عبر للمقاولات - مشروع المجمعة",الرياض,,,"الإدارة -مكتب الرياض"
4020294,"شركة البواني - ساليني امبريجيلو - ساجكو - قاعدة الملك سلمان - المشروع المشترك BSS",الرياض,,,"الإدارة -مكتب الرياض"
4020441,"مؤسسة سكك للنقل البرى",الرياض,,,"الإدارة -مكتب الرياض"
4020422,"مؤسسة اعمار الاخوه للمقاولات",الرياض,,,"الإدارة -مكتب الرياض"
4020331,"شركة جبل الزاوي للمقاولات - تجاري",الرياض,"مطار الملك خالد الدولي، الرياض",https://maps.app.goo.gl/vm3SeZ17qA7kc63m9,"الإدارة -مكتب الرياض"
